CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_TYPE
def,magento,FK_6FDF205946906B0E653E60AA769899F8,magento,catalog_product_entity_media_gallery_value_video,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_entity_range,"PRIMARY KEY"
def,magento,CATALOG_PRODUCT_ENTITY_RANGE_ROW_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_product_entity_range,UNIQUE
def,magento,CATALOG_PRODUCT_ENTITY_RANGE2_STORE_ID_STORE_STORE_ID,magento,catalog_product_entity_range,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_RANGE2_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_product_entity_range,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_RANGE2_ROW_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_entity_range,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_entity_text,"PRIMARY KEY"
def,magento,CATALOG_PRODUCT_ENTITY_TEXT_ENTITY_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_product_entity_text,UNIQUE
def,magento,CATALOG_PRODUCT_ENTITY_TEXT_ROW_ID_CATALOG_PRODUCT_ENTITY_ROW_ID,magento,catalog_product_entity_text,"FOREIGN KEY"
def,magento,CATALOG_PRODUCT_ENTITY_TEXT_STORE_ID_STORE_STORE_ID,magento,catalog_product_entity_text,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_TEXT_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_product_entity_text,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_entity_tier_price,"PRIMARY KEY"
def,magento,UNQ_E8AB433B9ACB00343ABB312AD2FAB087,magento,catalog_product_entity_tier_price,UNIQUE
def,magento,CAT_PRD_ENTT_TIER_PRICE_CSTR_GROUP_ID_CSTR_GROUP_CSTR_GROUP_ID,magento,catalog_product_entity_tier_price,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_TIER_PRICE_ROW_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_entity_tier_price,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_TIER_PRICE_WS_ID_STORE_WS_WS_ID,magento,catalog_product_entity_tier_price,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_entity_varchar,"PRIMARY KEY"
def,magento,CATALOG_PRODUCT_ENTITY_VARCHAR_ENTITY_ID_ATTRIBUTE_ID_STORE_ID,magento,catalog_product_entity_varchar,UNIQUE
def,magento,CATALOG_PRODUCT_ENTITY_VARCHAR_STORE_ID_STORE_STORE_ID,magento,catalog_product_entity_varchar,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_VCHR_ATTR_ID_EAV_ATTR_ATTR_ID,magento,catalog_product_entity_varchar,"FOREIGN KEY"
def,magento,CAT_PRD_ENTT_VCHR_ROW_ID_CAT_PRD_ENTT_ROW_ID,magento,catalog_product_entity_varchar,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_frontend_action,"PRIMARY KEY"
def,magento,CATALOG_PRODUCT_FRONTEND_ACTION_VISITOR_ID_PRODUCT_ID_TYPE_ID,magento,catalog_product_frontend_action,UNIQUE
def,magento,CATALOG_PRODUCT_FRONTEND_ACTION_CUSTOMER_ID_PRODUCT_ID_TYPE_ID,magento,catalog_product_frontend_action,UNIQUE
def,magento,CAT_PRD_FRONTEND_ACTION_CSTR_ID_CSTR_ENTT_ENTT_ID,magento,catalog_product_frontend_action,"FOREIGN KEY"
def,magento,PRIMARY,magento,catalog_product_index_eav,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_product_index_eav_decimal,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_product_index_eav_decimal_idx,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_product_index_eav_decimal_replica,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_product_index_eav_decimal_tmp,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_product_index_eav_idx,"PRIMARY KEY"
def,magento,PRIMARY,magento,catalog_product_index_eav_replica,"PRIMARY KEY"
